brand,model,color,aid,title
"Graco","1992723","Grayson","AIDWT6391001","Graco Modes Click Connect Stroller, Grayson"
"Baby Trend","JG94710","Carbon","AID94EK72001","Baby Trend Expedition Jogger Stroller, Carbon"
"Graco","2113920","Ainsley","AIDGSF022001","Graco Modes Element Travel System, Includes Baby Stroller with Reversible Seat, Extra Storage, Child Tray and SnugRide 35 Lite LX Infant Car Seat, Ainsley"
"Baby Trend","TS40142","Paisley","AID4J7012001",
"Baby Trend",,"Phunk Plaid","AIDITXJ22001",
"Baby Trend","TS40A48A","Hello Kitty Expressions","AID7ACK72001",
"Evenflo","56022217A","Dusty Rose","AID1RP512001",
"Baby Trend","TS42C01A","Starlight Pink","AID1Q7012001",
"Graco","2111213","Lanier","AIDISF022001","Graco Modes Element LX Travel System | Includes Baby Stroller with Reversible Seat, Extra Storage, Child Tray, One Hand Fold and SnugRide 35 Lite LX Infant Car Seat, Lanier"
"Graco","2023844","Rhett","AIDT69X61001","Graco Jetsetter Ultra Compact Stroller | Lightweight Travel Stroller, Rhett"
"gb","619000531","Night Blue","AID3YK512001","gb Pockit+ All-Terrain, Ultra Compact Lightweight Travel Stroller with Canopy and Reclining Seat in Night Blue"
"Baby Trend","JG95522","Mosiac Blue","AIDFECNJ1001","Baby Trend Xcel Jogger Stroller, Mosiac Blue"
"Baby Trend","TS40B66B","Sophia","AIDYFMIJ1001",
"Baby Trend","JG95A16A","Lemon Zest","AIDWCX191001","Baby Trend Xcel Jogger Stroller, Lemon Zest"
"Graco","2112391","Studio","AIDULG112001","Graco NimbleLite Stroller | Lightweight Stroller, Under 15 Pounds, Car Seat Compatible, Compact Fold, Studio"
"Baby Trend","TJ30509","Seaport","AIDZIXBA2001",
"Delta Children","11288-2018","Red","AIDWN4622001","Jeep Classic Jogging Stroller, Red"
"BOB Gear","U231947","Graphite Black","AIDB62M12001","BOB Gear Revolution Flex 3.0 Duallie Double Jogging Stroller | Smooth Ride Suspension + Easy Fold + Adjustable Handlebar, Graphite Black [New Logo]"
"Graco","2111209","Belgrade","AIDHQ7012001","Graco NimbleLite Travel System | Includes Lightweight Stroller and SnugRide 35 Lite Infant Car Seat, Parent Storage, Compact Fold | Lightweight Stroller Under 15 Pounds, Belgrade"
"UPPAbaby","0320-VIS-US-FIN","Blue","AIDB6VS72001","UPPAbaby VISTA V2 Stroller - FINN (deep sea/silver/chestnut leather)"
"Baby Jogger","2111986","Slate","AIDBDHCA2001","Baby Jogger City Mini GT2 Travel System, Slate"
"Chicco","07079095190070","Papyrus","AIDMYQG12001","Chicco Bravo Trio Travel System, Papyrus"
"gb","616230037","Monument Black","AIDQIBCA2001","gb Pockit Lightweight Stroller with Travel Bag"
"Safety 1st","TR378EEK","Wisteria Lane","AID6J7012001",
"Baby Trend","TJ94312","Millennium White","AIDW0EP81001",
"Baby Trend","TJ99181B","Centennial","AIDTGFK72001",
"Graco","2113923","Lynwood","AIDC62M12001","Graco Modes Element LX Travel System | Includes Baby Stroller with Reversible Seat, Extra Storage, Child Tray, One Hand Fold and SnugRide 35 Lite LX Infant Car Seat, Lynwood"
"Graco","2111608","Ellington","AIDQFTF12001","Graco Modes Pramette Travel System | Includes Baby Stroller with True Bassinet Mode, Reversible Seat, One Hand Fold, Extra Storage, Child Tray and SnugRide 35 Infant Car Seat, Ellington"
"Baby Trend","TJ94068","Phantom","AID54G8H1001",
"gb","619000533","Velvet Black","AIDB9ZA12001",
"Baby Trend","TJ30613","Viola","AIDHN03A1001",
"Summer Infant","32873","Gray","AIDGOM512001","Summer Infant 3D Mini Convenience Stroller, Gray"
"Baby Trend","JG94068R","Phantom","AID2HLI91001","Baby Trend Expedition Jogger Stroller, Phantom, 50 Pounds"
"Kolcraft","KL029-FRR1","Fire Red","AID17ZA12001","Kolcraft Cloud Plus Lightweight Easy Fold Compact Travel Baby Stroller, Fire Red"
"Baby Jogger","2104206","Slate","AIDH8GK72001","Baby Jogger City Mini GT2 Double Stroller, Slate"
"Maxi-Cosi","TR389ETQA","Emerald Tide","AID03A182001","Maxi-Cosi Zelia 5-In-1 Modular Travel System, Emerald Tide, One Size"
"Disney","TR351CZR","Garden Delight Minnie","AID7J7012001","Disney Baby Minnie Mouse Amble Quad Travel System Stroller with Onboard 22 LT Infant Car Seat (Garden Delight)"
"Thule","10101948","Grey Melange","AIDXNFT54001","Thule Urban Glide 2, Grey Melange, One Size"
"Evenflo","56041990A","Casual Grey","AID7JBS81001",
"Baby Trend","TS89B14A","Flora","AIDRKS2A1001","Baby Trend Skyview Travel System, Flora"
"Chicco","04079673190070","Atmos","AIDM2HZ62001","Chicco Activ3 Air Jogging Stroller - atmos, Grey"
"Graco","2029406","Balancing Act","AIDJLD191001","Graco Jetsetter Stroller, Balancing Act"
"Baby Trend","TJ93B04B","Piscina","AIDIF1622001","Baby Trend Expedition Premiere Jogger Travel System, Piscina"
"gb","616230013","Monument Black","AIDEF3D81001","Pockit Lightweight Stroller"
"Graco",,,"AIDYRZH45001","Graco Ready2Grow"
"Summer Infant","21930A","Black","AIDAGT781001",
"Baby Trend","JG94044","Bubble Gum","AID6E4F02001","Baby Trend Expedition Jogger Stroller, Bubble Gum"
"Summer Infant","32643","Blue","AID0DGL91001","Summer 3Dmini Convenience  Stroller, Blue/Black – Lightweight Infant Stroller with Compact Fold, Multi-Position Recline, Canopy with Pop Out Sun Visor and More – Umbrella Stroller for Travel and More"
"Baby Jogger","2113380","Barre","AIDPHTXG5001","Baby Jogger City Mini GT2 Stroller, Barre Collection"
"gb","619000529","Velvet Black","AID9UL381001","gb Pockit+ All-Terrain, Ultra Compact Lightweight Travel Stroller with Canopy and Reclining Seat in Velvet Black"
"Baby Trend","TJ94203","Millennium Orange","AIDS5SF12001",
"Loulou Lollipop",,"Robins Egg Blue","AID4AVS72001","Loulou Lollipop Color Block Silicone & Wood Pacifier Clip Robins Egg Blue One Size"
"Baby Jogger","2082767","Jet","AIDCLVJF1001","Baby Jogger City Mini GT2 Stroller, Jet"
"Graco","2113875","Sullivan","AIDXSF022001",
"Graco","2111198","Canter","AID8HDJ12001","Graco Modes Element Travel System, Includes Baby Stroller with Reversible Seat, Extra Storage, Child Tray and SnugRide 35 Lite LX Infant Car Seat, Canter"
"Baby Trend","TJ75B13A","Rose","AID5TXJ22001","Baby Trend Cityscape Jogger Travel System, Rose"
"Graco","2113874","Frisco","AIDWLG112001","Graco NimbleLite Travel System | Includes Lightweight Stroller and SnugRide 35 Lite Infant Car Seat, Parent Storage, Compact Fold | Lightweight Stroller Under 15 Pounds, Frisco"
"Safety 1st","TR378EEL","Monument 2","AIDNSO591001","Safety 1st Smooth Ride Travel System with OnBoard 35 LT Infant Car Seat, Monument 2"
"Graco",,"Redmond","AIDLJ5N04001","Graco Modes Pramette Stroller | Baby Stroller with True Bassinet Mode, Reversible Seat, One Hand Fold, Extra Storage, Child Tray, Redmond, Amazon Exclusive"
,,"Mickey Tuxedo","AIDHMECA2001","Disney Umbrella Stroller, Mickey Tuxedo"
"BOB Gear","S12104700","Black","AIDJ6VS72001","BOB Gear Handlebar Console for Duallie Jogging Strollers"
"Joovy","8061","Red","AIDOC4B12001","Joovy Zoom 360 Ultralight Jogging Stroller, Large Canopy, Lightweight Jogger, Extra Large Air Filled Tires, Red"
"Safety 1st","TR378EEJ","Lake Blue","AIDCJOE81001",
"Graco","2084432","Tessa","AIDMYX571001","Graco FastAction SE Travel System | Includes FastAction SE Stroller and SnugRide 30 LX Infant Car Seat, Tessa"
"gb","620000125","Desert Night","AIDLS9CA2001","gb Pockit+ All-City Lightweight Stroller, Desert Night"
"INFANS",,"Grey","AIDA62M12001","INFANS Baby Stroller for Newborn, 2 in 1 High Landscape Convertible Reversible Bassinet Pram for Infant & Toddler, Foldable Aluminum Alloy Pushchair with Adjustable Backrest, 3D Suspension (Grey)"
"Baby Jogger",,"Jet","AIDGAFCA2001","Baby Jogger City Mini GT2 Stroller & Pram, Jet"
"Delta Children","33098-2279","Black with Royal Blue","AIDIAY512001","Jeep North Star Stroller – Lightweight Stroller Features Parent Organizer, Cup Holder and Cool-Climate Mesh Seat, Black with Royal Blue"
"Disney","US124AFS1","Grey","AIDM9F512001","Disney Umbrella Stroller with Canopy, I Heart Mickey"
"Maxi-Cosi","TR389ETPA","Aventurine Blue","AIDYJG112001","Maxi-Cosi Zelia 5-In-1 Modular Travel System, Aventurine Blue, One Size (TR389ETPA)"
"Baby Trend","TJ75B72B","Optic Pink","AIDEIBC81001","Baby Trend Pathway 35 Jogger Travel System, Optic Pink"
"Baby Jogger","2086530","Jet","AIDVNGCA2001","Baby Jogger City Mini GT2 Travel System, Jet"
"Joovy","8067","Black","AID44YG91001","Joovy Zoom 360 Ultralight Jogging Stroller, Large Canopy, Lightweight Jogger, Extra Large Air Filled Tires, Black"
"Summer Infant","32763","Matte Black/Pink","AIDRF4B12001","Summer 3Dlite+ Convenience Stroller, Pink/Matte Black – Lightweight Umbrella Stroller with Oversized Canopy, Extra-Large Storage and Compact Fold"
"Summer Infant","31953","Orchid","AIDEIFK72001","Summer 3Dlite Convenience Stroller, Orchid – Lightweight Stroller with Aluminum Frame, Large Seat Area, Mesh Siding, 4 Position Recline, Extra Large Storage Basket – Infant Stroller for Travel & More"
"Baby Jogger","2084015",,"AID69HZ62001","Baby Jogger Foot Muff"
"Baby Trend","DX60402","Tropic","AID44DR61001","Baby Trend Navigator Double Jogger Stroller, Tropic"
"Chicco","06079639950070","Black","AID919182001","Chicco Viaro Travel System - Black"
"Chicco","04079761510070","Orion","AID3A1W81001","Chicco Bravo Trio Travel System, Orion"
"Baby Jogger","2104205","Jet","AIDGCO981001","Baby Jogger City Mini GT2 Double Stroller, Jet"
"Disney","TR343CLV","Mickey Silhouette","AID7UHB12001","Disney Amble Quad Travel System, Mickey Silhouette"
"Chicco","04079747790070","Oxford","AIDC3J512001","Chicco Viaro Travel System, Oxford"
"Delta Children","12198-2012","Grey Tweed","AIDU25391001","Jeep Unlimited Reversible Handle Stroller, Grey Tweed"
"Chicco","06079062950070","Black","AIDPLI291001","Chicco KeyFit Caddy Frame Stroller"
"Graco","1992185","Bennett","AID8RW571001","Graco FastAction Fold Travel System | Includes FastAction Fold Stroller and SnugRide 30 Infant Car Seat, Bennett"
"Graco","2112327","Spencer","AID0SF022001","Graco Modes Nest Stroller | Baby Stroller with Height Adjustable Reversible Seat, Bassinet Mode, Extra Large Storage, Self Standing Fold and Lightweight Aluminum Frame, Spencer"
"Baby Trend","TS89A81A","Diamond Geo","AIDD6VS72001","Baby Trend Sky View Travel System, Diamond Geo"
"UPPAbaby","0320-VIS-US-BRY","White","AIDOPWAA2001","UPPAbaby VISTA V2 Stroller - BRYCE (white marl/silver/chestnut leather)"
"Summer Infant","32883","Pink/Black","AID5XT781001","Summer Infant 3D Mini Convenience Stroller, Pink/Black"
"BOB Gear","S12104600","Black","AIDO77182001","BOB Gear Handlebar Console for Single Jogging Strollers"
"Graco",,"Redmond","AIDYMT434001",
"gb",,"Blue","AIDSQO534001","GB Pockit+ All-City Stroller - Night Blue"
"Graco","2113876","Bayfield","AID0TF022001","Graco Modes Nest Travel System | Includes Baby Stroller with Height Adjustable Reversible Seat, Bassinet Mode, Lightweight Aluminum Frame and SnugRide 35 Lite Elite Infant Car Seat, Bayfield"
"gb","619000535","Night Blue","AID2RKH52001","gb Pockit+ All City, Ultra Compact Lightweight Travel Stroller with Front Wheel Suspension, Full Canopy, and Reclining Seat in Night Blue"
"gb","616230017","Capri Blue","AID162WD1001","gb Pockit Ultra Compact Lightweight Travel Stroller in Capri Blue, The World's Smallest Folding Stroller"
"Graco","1968354","Janey","AIDKGY491001","Graco FastAction Fold Travel System | Includes FastAction Fold Stroller and SnugRide 30 Infant Car Seat, Janey"
"Baby Trend","TJ94044","Bubble Gum","AID5J7012001",
"Graco","2029407","Finch","AIDURF022001","Graco Jetsetter Stroller, Finch"
"Summer Infant","32743","Matte Black","AIDKVL512001","Summer 3Dlite+ Convenience Stroller, Matte Black – Lightweight Umbrella Stroller with Oversized Canopy, Extra-Large Storage and Compact Fold"
"Chicco","05079761210070","Meridian","AIDF6VS72001","Chicco Bravo Trio Travel System - Meridian, Brown"
"UPPAbaby","0320-VIS-US-ALC","Pink","AIDKK7182001","UPPAbaby VISTA V2 Stroller - ALICE (dusty pink/silver/saddle leather)"
"INFANS",,"Light Grey","AIDH2NCA2001","INFANS Newborn Baby Stroller Carriage, 2 in 1 High Landscape Convertible Reversible Bassinet Pram, Foldable Aluminum Alloy Pushchair with Adjustable Canopy, 3D Shock Absorption PU Wheels (Light Grey)"
"Graco","2111882","Gotham","AIDPRF022001","Graco Modes Element Stroller | Baby Stroller with Reversible Seat, Extra Storage, Child Tray, Gotham"
"Graco","2048728","Nanette","AIDZOBK12001","Graco Modes Travel System | Includes Modes Stroller and SnugRide SnugLock 35 Infant Car Seat, Nanette"
"Baby Trend","TS41227C","Coral Floral","AIDKYN6E1001",
"Graco","2111607","Pierce","AIDEQ7012001","Graco Modes Pramette Stroller, Baby Stroller with True Bassinet Mode, Reversible Seat, One Hand Fold, Extra Storage, Child Tray, Pierce"
"Graco","2114193","Norah","AIDTSF022001","Graco Modes Nest Travel System | Includes Baby Stroller with Height Adjustable Reversible Seat, Bassinet Mode, Lightweight Aluminum Frame and SnugRide 35 Lite Elite Infant Car Seat, Norah"
"Summer Infant","32693","Teal","AIDUEWJ91001","Summer 3Dlite Convenience Stroller, Teal – Lightweight Stroller with Aluminum Frame, Large Seat Area, 4 Position Recline, Extra Large Storage Basket – Infant Stroller for Travel and More"
"Thule","10101923","Black on Black","AID78AK91001","Thule Urban Glide 2 Jogging Stroller, Black/Black Frame"
"Kolcraft","KL029-SLA1","Slate Grey","AIDTPY191001","Kolcraft Cloud Plus Lightweight Easy Fold Compact Travel Baby Stroller, Slate Grey"
"Baby Trend","DJ96715R","Elixer","AID1JE112001","Baby Trend Expedition Double Jogger, Elixer"
"Delta Children","11701-820","Black and Orange","AIDOM4622001","Delta Children City Street LX Side by Side Stroller, Orange"
"Summer Infant","32303","Gray","AIDO4X191001","Summer 3Dlite Convenience Stroller, Gray – Lightweight Stroller with Aluminum Frame, Large Seat Area, 4 Position Recline, Extra Large Storage Basket – Infant Stroller for Travel and More"
"Chicco","00079660040070","Slate","AID9NNRA1001","Chicco Mini Bravo Plus Travel System, Slate"
"Cosco","US119BPX","Floating","AIDIMZBA2001","Cosco Umbrella Stroller with Canopy, Floating"
"Baby Trend","SS76B71A","Optic Green","AIDA9RCA2001","Baby Trend Sit n Stand Double Stroller, Optic Green"
"Disney","US139BMG","Mickey","AIDB7KSD1001","Disney Baby Mickey Mouse Umbrella Stroller with Basket"
"Thule","10101943","Majolica Blue","AIDG0LG34001","Thule Urban Glide 2, Majolica Blue, One Size"
"Maxi-Cosi","TR389ETR","Violet Caspia","AID5W1H12001","Maxi-Cosi Zelia 5-in-1 Modular Travel System - Stroller and Mico 30 Infant Car Seat Set, Violet Caspia"
"Joovy","8060","Blueberry","AIDJQ7182001","Joovy Zoom 360 Ultralight Jogging Stroller, Large Canopy, Lightweight Jogger, Extra Large Air Filled Tires, Blueberry"
"Chicco","04079747680070","Techna","AIDVJIK72001","Chicco Viaro Travel System, Techna"
"BRITAX","S12399800","Asher","AIDAVYCA2001","Britax B-Free Sport Travel System with B-Safe Endeavors Infant Car Seat | All Terrain Tires + Adjustable Handlebar + Extra Storage with Front Access + One Hand, Easy Fold - Asher Grey"
"UPPAbaby","0320-VIS-US-HZL","Green","AIDT9LCA2001","UPPAbaby VISTA V2 Stroller - HAZEL (olive/silver/saddle leather)"
"Joovy","849285080693","Charcoal","AIDC6VS72001","Joovy Zoom 360 Ultralight Jogging Stroller, Large Canopy, Lightweight Jogger, Extra Large Air Filled Tires, Charcoal"
"Dream On Me","446-PUR","Purple","AIDCC2BA2001","Dream On Me Volgo Twin Umbrella Stroller, Purple/Dark Grey"
"Dream On Me","446-PNK","Pink","AIDM8B182001","Dream On Me, Volgo Twin Umbrella Stroller, Pink (446-PNK)"
"BRITAX","S11251600","Vibe","AIDWU0W61001","Britax B-Free Travel System with B-Safe Ultra Infant Car Seat - Birth to 65 Pounds | All Terrain Tires + Adjustable Handlebar + Extra Storage with Front Access + One Hand, Easy Fold, Vibe"
"Graco","2111880","Tenley","AIDSRF022001","Graco Modes Element LX Stroller | Baby Stroller with Reversible Seat, Extra Storage, Child Tray, One Hand Fold, Tenley"
"Chicco","06079659950070","Carbon","AIDJDPA02001","Chicco Mini Bravo Sport Travel System, Carbon"
"Dream On Me","365-BLACK","Black","AIDJF4B12001","Dream On Me, Coast Stroller Rider, Lightweight, One Hand Easy Fold, Travel Ready, Strudy, Adjustable Handles, Soft-ride Wheels, Easy to Push, Black"
"Evenflo","19132343","Adventurer","AID0PYE72001","Evenflo Pivot Xplore All-Terrain Stroller Wagon"
"Chicco","00079660460070","Midnight","AID8NPK72001","Chicco Mini Bravo Plus Travel System, Midnight"
"BRITAX","U741900","Midnight","AIDR0IK72001","Britax B-Free Stroller | All Terrain Tires + Adjustable Handlebar + Extra Storage with Front Access + One Hand, Easy Fold + Cool Flow Ventilated Fabric - Midnight"
"Baby Trend","JG76D15A","Blue","AIDDC9L72001","Baby Trend Expedition Race Tec Jogger"
"Baby Trend","TS89C04B","Bluebell","AID3J7012001","Baby Trend Sky View Plus Travel System, Bluebell"
"Baby Trend","DJ96710","Carbon","AID0CNLA1001","Baby Trend Expedition Double Jogger Stroller, Carbon"
"Delta Children","33098-2277","Black with Grey","AID26U291001","Jeep North Star Stroller – Lightweight Stroller Features Parent Organizer, Cup Holder and Cool-Climate Mesh Seat, Black with Grey"
"Chicco","00079135720070","Black","AIDAVD071001","Chicco BravoFor2 Standing/Sitting Double Stroller, Iron"
"BOB Gear","U181927","Black","AIDH2HZ62001","BOB Gear Rambler Jogging Stroller | Smooth Ride Suspension + Easy Fold + XL Canopy Coverage, Black [New Logo]"
"Baby Trend","SS76B75A","Optic Aqua","AIDCCRCA2001","Baby Trend Sit n Stand Double Stroller, Optic Aqua"
"Dream On Me","446-GRY","Gray","AID22BWD1001","Dream On Me Volgo Twin Umbrella Stroller, Dark/Light Grey"
"Baby Jogger","2084014","Black","AIDQ4TJ91001","Baby Jogger Cooler Bag"
"Baby Trend","JG99773","Millenium","AIDG6TZ61001","Baby Trend Range Jogger Stroller, Millennium"
"BOB Gear","U221947","Graphite Black","AIDR3HZ62001","BOB Gear Revolution Flex 3.0 Jogging Stroller | Smooth Ride Suspension + Easy Fold + Adjustable Handlebar, Graphite Black [New Logo]"
"Evenflo","19132263","Wayfarer","AIDEUT512001","Evenflo Pivot Xplore All-Terrain Stroller Wagon"
"BOB Gear","S12046500","Black","AIDYI2Q04001","BOB Gear Deluxe Handlebar Console with Tire Pump for Single Jogging Strollers, Black"
"gb","620000123","Atlantic Orange","AIDX88CA2001","GB All City Pockit Stroller"
"Chicco","06079761960070","Nottingham","AID5F6I71001","Chicco Bravo Trio Travel System with Full Size Stroller, Convertible Frame Stroller, One-Hand Compact Fold, Extendable Canopy and KeyFit 30 Infant Car Seat, Nottingham"
"Baby Jogger","2083998","City Mini GT2","AIDHY2SI1001","Baby Jogger Weather Shield, City Mini GT2"
"BRITAX","S11747400","Midnight","AID6MYCA2001","Britax B-Free Travel System with B-Safe Ultra Infant Car Seat | All Terrain Tires + Adjustable Handlebar + Extra Storage with Front Access + One Hand, Easy Fold - Midnight"
"Summer Infant","32773","Matte Black/Blue","AID8ZX291001","Summer 3Dlite+ Convenience Stroller, Blue/Matte Black – Lightweight Umbrella Stroller with Oversized Canopy, Extra-Large Storage and Compact Fold"
"Baby Trend","ST21A21A","Princeton","AID7PY191001","Baby Trend Rocket Lightweight Stroller, Princeton"
"UPPAbaby","0320-VIS-US-BRY/1017-MSA-US-BRY","White","AID1N2DA2001","UPPAbaby Vista V2 Stroller - Bryce (White Marl/Silver/Chestnut Leather) + Mesa Infant Car Seat - Bryce (White Marl)"
"Disney","US100BVT1","Mickey Stripes","AID1Y0CA2001","Disney Umbrella Stroller with Canopy, Mickey Stripes Prior Model)"
"Dream On Me","365-GRAY","Grey","AIDT8C791001","Dream On Me, Coast Stroller Rider, Lightweight, One hand easy fold, travel ready, Strudy, Adjustable handles, Soft-ride wheels, Easy to push, Gray"
"Thule","10101926","Thule Blue","AIDC58V72001","Thule Urban Glide 2 Jogging Stroller , Thule Blue"
"Baby Trend","SS76072A","Onyx","AIDC2DA12001","Baby Trend Sit and Stand Double Stroller, Onyx"
"Baby Trend","SS76044","Millennium Pink","AIDF2WD81001","Baby Trend Double Sit N Stand Stroller, Millennium Pink"
"Maxi-Cosi","TR389EMJA","Night Black","AIDCMUF12001","Maxi-Cosi Zelia 5-In-1 Modular Travel System, Night Black"
"Evenflo","19132264","Gypsy","AIDNQF512001","Evenflo Pivot Xplore All-Terrain Stroller Wagon"
"UPPAbaby","0320-VIS-US-FIN/1017-MSA-US-JKE","Finn","AIDXGD182001","UPPAbaby Vista V2 Stroller - Finn (Deep Sea/Silver/Chestnut Leather) + Mesa Infant Car Seat - Jake (Black)"
"Summer Infant","31963","Granite Herringbone","AIDCDL9Z3001","Summer Infant 3Dlite+ Convenience Stroller, Granite Herringbone  – Lightweight Umbrella Stroller with Oversized Canopy, Extra-Large Storage and Compact Fold"
"Baby Jogger","2104669","Jet","AIDT4UUV3001","Baby Jogger | Maxi COSI, Be Safe, Cybex Car Seat Adapter |City Mini 2 Double Stroller, City Mini GT2 Double Stroller, Black"
"Graco","2101063","Ferris","AID4F30A1001","Graco Modes Jogger 2.0 Travel System | Includes Jogging Stroller and SnugRide SnugLock 35 LX Infant Car Seat, Ferris"
"Baby Jogger","BJ91502","Black","AID3ZAK91001","Baby Jogger City Select Single Child Tray, Black"
"Evenflo","57312205","Avenue","AIDIENLA1001",
"Baby Trend","SS66203","Millennium Orange","AIDG6YR91001","Baby Trend Sit N Stand Ultra Stroller, Millennium Orange"
"Baby Trend","SS74701","Baltic","AID5UOCA2001","Baby Trend Sit n Stand Deluxe Stroller, Baltic"
"Baby Jogger","2014204","Black","AID97TJ91001","Baby Jogger Select/LUX Britax CSA Adapter, Black"
"Baby Jogger","2087734","Seacrest","AID47VS72001","Baby Jogger City Tour 2 Double Stroller, Seacrest"
"Baby Jogger","2104203","Slate","AIDXOTCA2001","Baby Jogger City Mini 2 Double Stroller, Slate"
"UPPAbaby","0320-VIS-US-JKE/1017-MSA-US-JKE","Black","AID18VS72001","UPPAbaby Vista V2 Stroller - Jake (Black/Carbon/Black Leather) + Mesa Infant Car Seat - Jake (Black)"
"Baby Jogger","2008379","Port","AIDE7HZ62001","Baby Jogger City Select LUX Stroller | Baby Stroller with 20 Ways to Ride, Goes from Single to Double Stroller | Quick Fold Stroller, Port"
"Baby Trend","SS76B77A","Optic Violet","AIDZYSCA2001","Baby Trend Sit n Stand Double Stroller, Optic Violet"
"Baby Trend","SS74740","Vanguard","AID1O0DA2001","Baby Trend Sit N Stand DX Stroller, Vanguard"
"Baby Trend","SS66068","Phantom","AID3L2N61001","Baby Trend Sit N Stand Ultra Tandem Stroller, Phantom"
"Baby Jogger","2008340","Taupe","AIDHH5BJ1001","Baby Jogger City Select LUX Stroller | Baby Stroller with 20 Ways to Ride, Goes from Single to Double Stroller | Quick Fold Stroller, Taupe"
"Joovy",,"Red","AID07VS72001","Joovy Caboose Too Graphite Stand-On Tandem Stroller, Red with Caboose Rear Seat, Red"
"Maxi-Cosi","TR414ETK","Nomad Black","AIDE0PP81001","Maxi-Cosi Zelia Max 5-in-1 Modular Travel System, Nomad Black, One Size"
"Baby Trend","SS76B73A","Optic Grey","AIDTT0CB1001","Baby Trend Sit n Stand Double Stroller, Optic Grey"
"Baby Trend","WG01D15A","Ultra Marine","AIDE62M12001","Baby Trend Expedition 2-in-1 Stroller Wagon PLUS, Ultra Marine"
"Maxi-Cosi","TR414EMR","Nomad Sand","AID0P7012001","Maxi-Cosi Maxi Cosi Zelia Max Travel System, Nomad Sand, One Size"
"BOB Gear","U231950","Lunar Black","AIDLW5O22001","BOB Gear Revolution Flex 3.0 Duallie Double Jogging Stroller | Ultra-Reflective Fabric + Smooth Ride Suspension + Easy Fold + Adjustable Handlebar, Lunar Black [New Logo]"
